model_key,protein,uniprot_id,model_type,threshold,qsar_model_run,status,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,confusion_matrix,n_target_bioactivity_datapoints,n_expanded_proteins,n_expanded_bioactivity_datapoints,n_train_samples,n_test_samples,train_class_distribution,test_class_distribution,n_features,similar_proteins
ADH1A_P07327_B_high,ADH1A,P07327,B,high,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
ADH1A_P07327_B_medium,ADH1A,P07327,B,medium,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
ADH1A_P07327_B_low,ADH1A,P07327,B,low,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
HSD11B1_P28845_A,HSD11B1,P28845,A,N/A,Yes,success,1,1,1,1,1,[[194]],2046,"","",N/A,N/A,"{'Low+Medium': '862 (0.527)', 'High': '774 (0.473)'}","{'Low+Medium': '216 (0.527)', 'High': '194 (0.473)'}",2063,N/A
HSD11B1_P28845_B_high,HSD11B1,P28845,B,high,Yes,success,1,1,1,1,1,[[194]],2726,4,680,N/A,N/A,"{'Low+Medium': '1259 (0.544)', 'High': '1057 (0.456)'}","{'Low+Medium': '216 (0.527)', 'High': '194 (0.473)'}",3023,N/A
HSD11B1_P28845_B_medium,HSD11B1,P28845,B,medium,Yes,success,1,1,1,1,1,[[194]],2726,4,680,N/A,N/A,"{'Low+Medium': '1259 (0.544)', 'High': '1057 (0.456)'}","{'Low+Medium': '216 (0.527)', 'High': '194 (0.473)'}",3023,N/A
HSD11B1_P28845_B_low,HSD11B1,P28845,B,low,Yes,success,1,1,1,1,1,[[194]],5524,15,3478,N/A,N/A,"{'Low+Medium': '3260 (0.637)', 'High': '1854 (0.363)'}","{'Low+Medium': '216 (0.527)', 'High': '194 (0.473)'}",3023,N/A
FMO1_Q01740_A,FMO1,Q01740,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
FMO1_Q01740_B_high,FMO1,Q01740,B,high,No,no_similar_proteins,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
FMO1_Q01740_B_medium,FMO1,Q01740,B,medium,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
FMO1_Q01740_B_low,FMO1,Q01740,B,low,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
AHR_P35869_unknown,AHR,P35869,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
NR1I3_Q14994_A,NR1I3,Q14994,A,N/A,Yes,success,0.5833333333333334,0.6005291005291005,0.6005291005291005,0.6333333333333333,0.5833333333333334,"[[2, 2, 0], [2, 2, 0], [1, 0, 3]]",59,"","",N/A,N/A,"{'Medium': '16 (0.340)', 'Low': '16 (0.340)', 'High': '15 (0.319)'}","{'Medium': '4 (0.333)', 'High': '4 (0.333)', 'Low': '4 (0.333)'}",2063,N/A
NR1I3_Q14994_B_high,NR1I3,Q14994,B,high,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
NR1I3_Q14994_B_medium,NR1I3,Q14994,B,medium,Yes,success,0.5833333333333334,0.6005291005291005,0.6005291005291005,0.6333333333333333,0.5833333333333334,"[[2, 2, 0], [2, 2, 0], [1, 0, 3]]",672,5,613,N/A,N/A,"{'Medium': '349 (0.529)', 'High': '224 (0.339)', 'Low': '87 (0.132)'}","{'Medium': '4 (0.333)', 'Low': '4 (0.333)', 'High': '4 (0.333)'}",3023,N/A
NR1I3_Q14994_B_low,NR1I3,Q14994,B,low,Yes,success,0.5833333333333334,0.6005291005291005,0.6005291005291005,0.6333333333333333,0.5833333333333334,"[[2, 2, 0], [2, 2, 0], [1, 0, 3]]",7496,60,7438,N/A,N/A,"{'High': '2983 (0.399)', 'Medium': '2950 (0.394)', 'Low': '1551 (0.207)'}","{'High': '4 (0.333)', 'Low': '4 (0.333)', 'Medium': '4 (0.333)'}",3023,N/A
NR1I2_O75469_A,NR1I2,O75469,A,N/A,Yes,success,0.7391304347826086,0.731922178556824,0.72903887606651,0.7405414939589029,0.7450592885375494,"[[19, 3, 1], [4, 12, 8], [0, 2, 20]]",344,"","",N/A,N/A,"{'Low': '93 (0.338)', 'Medium': '93 (0.338)', 'High': '89 (0.324)'}","{'Medium': '24 (0.348)', 'Low': '23 (0.333)', 'High': '22 (0.319)'}",2063,N/A
NR1I2_O75469_B_high,NR1I2,O75469,B,high,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
NR1I2_O75469_B_medium,NR1I2,O75469,B,medium,Yes,success,0.7391304347826086,0.7348837209302325,0.7320525783619819,0.7388926862611074,0.7444554238032498,"[[18, 4, 1], [4, 13, 7], [0, 2, 20]]",1642,13,1298,N/A,N/A,"{'High': '684 (0.435)', 'Low': '482 (0.306)', 'Medium': '407 (0.259)'}","{'Medium': '24 (0.348)', 'Low': '23 (0.333)', 'High': '22 (0.319)'}",3023,N/A
